x,y,theta
5.666666666666667,5.333333333333333,43.26429541107161
5.656565656565657,5.343434343434343,43.369431009482014
5.646464646464646,5.353535353535354,43.47457759252778
5.636363636363637,5.363636363636363,43.579734453600956
5.626262626262626,5.373737373737374,43.68490088567849
5.616161616161616,5.383838383838384,43.79007618135067
5.606060606060606,5.393939393939394,43.895259632849566
5.595959595959596,5.404040404040404,44.00045053207766
5.585858585858586,5.414141414141414,44.10564817063624
5.575757575757576,5.424242424242424,44.21085183985414
5.565656565656566,5.434343434343434,44.31606083081627
5.555555555555555,5.444444444444445,44.421274434392245
5.545454545454545,5.454545454545455,44.52649194126508
5.5353535353535355,5.4646464646464645,44.63171264195986
5.525252525252525,5.474747474747475,44.73693582687244
5.515151515151516,5.484848484848484,44.84216078629811
